num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
47,Mode.DLMT_DQ_F_TORQUE,8.147824878692626,2.363081932067871,11.789926141500471,11.789926141500471,95.93149852752686,0.0035975059270858,0.0003660144805908,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.5,True,271,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
48,Mode.DLMT_DQ_F_TORQUE,7.497691192626953,2.2010529041290283,-1.166081242263317,1.166081242263317,57.722975969314575,0.0035758019685745,0.0003637653589248,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,168,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
49,Mode.DLMT_DQ_F_TORQUE,5.927693061828613,1.9413901567459104,-10.676628351211548,10.676628351211548,69.22949290275574,0.0036417338848114,0.0003635196685791,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,196,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
50,Mode.DLMT_DQ_F_TORQUE,7.537025184631347,2.266347169876098,4.111751541495323,4.111751541495323,125.45674896240234,0.0035277254581451,0.0003520790338516,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,350,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
51,Mode.DLMT_DQ_F_TORQUE,6.620556755065918,2.0409579277038574,-4.028892517089844,4.028892517089844,55.24026036262512,0.0037498700618743,0.0003724983930587,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,156,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
52,Mode.DLMT_DQ_F_TORQUE,6.237060527801514,2.0008962154388428,1.685526967048645,1.685526967048645,86.47620344161987,0.0037576600313186,0.0003712675571441,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,241,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
53,Mode.DLMT_DQ_F_TORQUE,8.045337657928467,2.341157913208008,-1.783112250268459,1.783112250268459,104.51963496208192,0.0035749260187149,0.0003550382852554,64,"[256, 256, 256]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,292,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
54,Mode.DLMT_DQ_F_TORQUE,6.6903379440307615,2.000669002532959,23.726578056812286,23.726578056812286,80.34730887413025,0.0051497292518615,0.0004404171705245,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,189,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
55,Mode.DLMT_DQ_F_TORQUE,6.111447076797486,1.9232910871505735,8.929342776536942,8.929342776536942,101.33119082450868,0.0052621213197708,0.0004254922866821,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,225,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
56,Mode.DLMT_DQ_F_TORQUE,8.256336669921875,2.330450773239136,9.01513546705246,9.01513546705246,106.82230281829834,0.0053017135858535,0.0004427371025085,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,241,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
