num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
37,Mode.DLMT_DQ_FM,21.01352542877197,2.362854480743408,3.8845110684633255,3.8845110684633255,65.91061592102051,0.0022507020235061,0.0002444863319396,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,258,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
38,Mode.DLMT_DQ_FM,25.98227897644043,2.3699426651000977,-8.542230725288391,8.542230725288391,75.64156174659729,0.0022563551664352,0.000246058344841,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,298,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
39,Mode.DLMT_DQ_FM,48.35240966796875,2.257751226425171,-1.321472134441137,1.321472134441137,75.86322355270386,0.0022540303468704,0.000245675086975,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,299,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
40,Mode.DLMT_DQ_FM,15.707409553527832,2.828598976135254,-11.354690790176392,11.354690790176392,65.70639419555664,0.0022577605247497,0.0002491106986999,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,252,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
41,Mode.DLMT_DQ_FM,31.089795532226564,2.951954364776612,-9.088404476642609,9.088404476642609,67.35654091835022,0.0023189743757247,0.0002535536289215,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,258,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
42,Mode.DLMT_DQ_FM,33.63414505004883,2.586616039276123,-3.682548925280571,3.682548925280571,64.34057545661926,0.0022537320852279,0.0002482155561447,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,246,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
43,Mode.DLMT_DQ_FM,93.57344970703124,3.2345595359802246,-12.897518277168274,12.897518277168274,81.29087996482849,0.0022434035539627,0.0002470200061798,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,312,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
44,Mode.DLMT_DQ_FM,32.4840022277832,4.229696750640869,-15.023067593574524,15.023067593574524,60.86708736419678,0.0022585364580154,0.0002475001811981,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,230,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
45,Mode.DLMT_DQ_FM,66.97623001098633,4.370787143707275,-10.5043426156044,10.5043426156044,57.06924891471863,0.0023730424642562,0.0002587943077087,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,219,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
46,Mode.DLMT_DQ_FM,90.09958694458008,4.537024021148682,-14.67902958393097,14.67902958393097,51.25861215591431,0.0023001457452774,0.0002476036548614,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,196,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
47,Mode.DLMT_DQ_FM,157.22558517456054,4.276676654815674,-13.779576122760773,13.779576122760773,72.22906923294067,0.0022295920848846,0.000246809720993,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,277,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
48,Mode.DLMT_DQ_FM,9.386617736816406,2.1868655681610107,1.0708278976380825,1.0708278976380825,82.18031477928162,0.0022637801170349,0.0002487833499908,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,319,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
49,Mode.DLMT_DQ_FM,18.77744888305664,2.249335527420044,21.2303563952446,21.2303563952446,86.39773440361023,0.0022761678695678,0.0002495733499526,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,332,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
50,Mode.DLMT_DQ_FM,25.437841453552245,2.3348939418792725,9.241395443677902,9.241395443677902,76.57141256332397,0.0022654809951782,0.0002488394975662,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,290,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
51,Mode.DLMT_DQ_FM,44.51584968566895,2.145212888717652,-0.2829513512551784,0.2829513512551784,75.6162543296814,0.0023005888462066,0.0002490903139114,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,294,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
